City,Country,Latitude,Longitude,Population,DateTime,Weather,Main_Weather,Feels_like,temp,max_temp,min_temp,Wind_Speed
Lusaka,ZM,-15.41,28.29,"2,774,133",2020-04-26 18:10,Clouds,scattered clouds,20.29,22.97,22.97,22.97,2.6
Algiers,DZ,36.75,3.04,"2,767,661",2020-04-26 17:08,Clouds,scattered clouds,17.55,20.0,20.0,20.0,5.7
Manchester,GB,53.48,-2.24,"2,730,076",2020-04-26 17:11,Rain,light rain,12.23,15.55,16.67,13.89,4.6
Depok,ID,-6.4,106.82,"2,727,209",2020-04-26 23:12,Thunderstorm,thunderstorm,27.06,23.65,26.0,21.67,1.5
Taiyuan,CN,37.87,112.56,"2,721,485",2020-04-27 00:12,Clouds,scattered clouds,6.84,14.0,14.0,14.0,7.0
Goiania,BR,-16.68,-49.25,"2,690,011",2020-04-26 13:10,Clouds,broken clouds,24.64,27.0,27.0,27.0,6.2
Chicago,US,41.85,-87.65,"2,670,406",2020-04-26 11:12,Clouds,broken clouds,4.86,11.92,13.33,10.56,7.2
Sapporo,JP,43.06,141.35,"2,669,680",2020-04-27 01:08,Clouds,scattered clouds,2.91,5.4,6.11,5.0,0.89
Huaian,CN,26.1,119.22,"2,655,320",2020-04-27 00:12,Clouds,few clouds,17.83,18.0,18.0,18.0,2.0
Weifang,CN,36.71,119.1,"2,653,989",2020-04-27 00:12,Clear,clear sky,7.26,10.17,10.17,10.17,1.19
Zibo,CN,36.79,118.06,"2,639,735",2020-04-27 00:09,Clear,clear sky,10.63,14.44,14.44,14.44,2.52
Bamako,ML,12.65,-8.0,"2,617,686",2020-04-26 16:12,Clouds,overcast clouds,36.5,41.0,41.0,41.0,5.1
Thiruvananthapuram,IN,8.48,76.92,"2,584,752",2020-04-26 21:42,Thunderstorm,thunderstorm,31.26,27.0,27.0,27.0,2.1
Vancouver,CA,49.25,-123.12,"2,581,079",2020-04-26 09:12,Clouds,broken clouds,6.65,10.0,11.11,8.89,4.1
Bandung,ID,-6.9,107.62,"2,580,191",2020-04-26 23:12,Rain,light rain,24.66,22.48,22.48,22.48,0.38
Pretoria,ZA,-25.74,28.19,"2,565,660",2020-04-26 18:09,Clouds,scattered clouds,19.64,20.92,22.0,20.0,3.1
Shaoxing,CN,30.01,120.57,"2,540,018",2020-04-27 00:12,Clouds,broken clouds,15.81,17.0,17.0,17.0,4.0
Yantai,CN,37.53,121.4,"2,526,702",2020-04-27 00:12,Clear,clear sky,5.67,9.39,9.39,9.39,2.76
Huizhou,CN,23.08,114.4,"2,524,543",2020-04-27 00:12,Clouds,broken clouds,29.04,24.44,24.44,24.44,1.97
Tashkent,UZ,41.26,69.22,"2,517,381",2020-04-26 21:09,Clouds,few clouds,25.73,26.0,26.0,26.0,2.1
Accra,GH,5.56,-0.2,"2,514,005",2020-04-26 16:07,Thunderstorm,thunderstorm with light rain,24.54,24.0,24.0,24.0,6.7
Lubumbashi,CD,-11.66,27.48,"2,478,262",2020-04-26 18:12,Clear,clear sky,22.37,23.3,23.3,23.3,2.2
Toluca De Lerdo,MX,19.29,-99.67,"2,467,241",2020-04-26 11:12,Clouds,scattered clouds,16.18,17.0,17.0,17.0,0.47
San Juan,AR,-31.54,-68.54,"2,448,417",2020-04-26 13:12,Clouds,broken clouds,15.78,18.31,18.31,18.31,2.65
Beirut,LB,33.89,35.49,"2,424,425",2020-04-26 19:12,Clouds,few clouds,11.37,15.33,19.0,10.56,5.1
Brisbane,AU,-27.47,153.03,"2,406,182",2020-04-27 02:12,Clear,clear sky,18.1,17.71,18.33,16.67,2.6
Damascus,SY,33.51,36.29,"2,392,045",2020-04-26 19:10,Clouds,few clouds,11.64,20.0,20.0,20.0,10.3
Bhopal,IN,23.27,77.4,"2,389,547",2020-04-26 21:42,Clouds,scattered clouds,29.41,30.0,30.0,30.0,3.1
Brazzaville,CG,-4.27,15.28,"2,388,090",2020-04-26 17:12,Rain,light rain,32.25,30.17,32.0,29.0,4.6
Luoyang,CN,34.68,112.45,"2,387,094",2020-04-27 00:12,Clear,clear sky,17.18,16.67,16.67,16.67,2.39
Houston,US,29.76,-95.36,"2,378,146",2020-04-26 11:09,Clouds,few clouds,19.9,24.58,25.56,23.0,6.2
Tunis,TN,34.0,9.0,"2,365,201",2020-04-26 17:12,Clouds,scattered clouds,22.54,28.0,28.0,28.0,6.7
Baku,AZ,40.38,49.89,"2,341,443",2020-04-26 20:09,Clouds,scattered clouds,8.33,11.0,11.0,11.0,3.1
Tangerang,ID,-6.18,106.63,"2,338,547",2020-04-26 23:08,Thunderstorm,thunderstorm,30.68,26.0,26.0,26.0,1.5
Medan,ID,3.58,98.67,"2,337,958",2020-04-26 23:12,Clouds,scattered clouds,32.2,27.0,27.0,27.0,2.6
Belem,BR,-1.46,-48.5,"2,334,462",2020-04-26 13:12,Clouds,scattered clouds,34.16,30.0,30.0,30.0,3.1
Sendai,JP,38.27,140.87,"2,327,417",2020-04-27 01:12,Rain,light rain,5.39,8.73,8.73,8.73,3.15
Mogadishu,SO,2.04,45.34,"2,282,009",2020-04-26 19:09,Clouds,broken clouds,30.73,28.74,28.74,28.74,5.72
Nantong,CN,32.03,120.87,"2,275,777",2020-04-27 00:12,Rain,light rain,9.09,13.04,13.33,12.78,4.66
Barranquilla,CO,10.96,-74.8,"2,272,914",2020-04-26 11:07,Clouds,scattered clouds,32.88,32.0,32.0,32.0,6.2
Manaus,BR,-3.1,-60.02,"2,260,788",2020-04-26 12:11,Clouds,scattered clouds,34.5,29.51,30.0,29.0,1.5
Maracaibo,VE,10.63,-71.64,"2,257,999",2020-04-26 12:12,Clear,clear sky,33.71,30.59,30.59,30.59,1.37
Taoyuan,CN,32.3,120.62,"2,245,162",2020-04-27 00:12,Rain,light rain,9.16,13.23,13.89,12.78,4.89
Rawalpindi,PK,33.6,73.07,"2,236,905",2020-04-26 21:12,Rain,light rain,25.04,24.97,25.56,24.0,3.1
Gujranwala,PK,32.16,74.19,"2,229,220",2020-04-26 21:12,Smoke,smoke,24.94,26.0,26.0,26.0,4.8
Agra,IN,27.18,78.02,"2,210,246",2020-04-26 21:42,Rain,light rain,30.49,31.13,31.13,31.13,1.16
Peshawar,PK,34.01,71.58,"2,202,946",2020-04-26 21:10,Haze,haze,26.34,27.0,27.0,27.0,3.1
Daegu,KR,35.8,128.55,"2,198,962",2020-04-27 01:12,Clouds,scattered clouds,7.17,9.0,9.0,9.0,1.0
